State,Year,Quater,Transaction_amount,Transaction_count,Top_Dist_Name
nagaland,2021,2,84823658.15124774,27199,tuensang
nagaland,2021,2,54703199.48271289,21747,zunheboto
nagaland,2021,2,42645682.011797145,15860,peren
nagaland,2021,2,39521626.841992125,13528,longleng
nagaland,2021,4,2741781159.7608576,886146,dimapur
nagaland,2021,4,1056357839.8615553,413753,kohima
nagaland,2021,4,206715301.32699895,64765,mokokchung
nagaland,2021,4,235277660.25521597,61436,mon
nagaland,2021,4,152644732.57078952,44854,phek
nagaland,2021,4,130830504.92018618,42511,wokha
nagaland,2021,4,148350887.52116236,37106,tuensang
nagaland,2021,4,81774057.90065698,25944,zunheboto
nagaland,2021,4,71109896.99941692,22569,peren
nagaland,2021,4,59818503.44606339,16341,longleng
nagaland,2021,3,2201388248.147341,727702,dimapur
nagaland,2021,3,874957891.8906745,335522,kohima
nagaland,2021,3,170603111.1159384,59456,mokokchung
nagaland,2021,3,185806960.82773107,56260,mon
nagaland,2021,3,96937646.11476573,38482,wokha
nagaland,2021,3,116637883.29609635,36963,phek
nagaland,2021,3,109337195.97725664,30653,tuensang
nagaland,2021,3,77798029.09900394,23265,zunheboto
nagaland,2021,3,57076677.278898776,19756,peren
nagaland,2021,3,44639115.38971553,14691,longleng
nagaland,2021,1,1837044748.4900613,550985,dimapur
nagaland,2021,1,611989486.3557233,209442,kohima
nagaland,2021,1,116937738.43409455,43465,mokokchung
nagaland,2021,1,148431447.81181777,43337,mon
nagaland,2021,1,65940883.14165088,26881,wokha
nagaland,2021,1,86311391.93012239,24927,phek
nagaland,2021,1,84510754.5222169,23643,tuensang
nagaland,2021,1,51849616.04221482,18219,zunheboto
nagaland,2021,1,33575965.56407318,12322,peren
nagaland,2021,1,34735822.64446311,12009,longleng
nagaland,2019,2,258070892.01001915,86518,dimapur
nagaland,2019,2,102757262.27285326,35959,kohima
nagaland,2019,2,43001192.88793167,19752,zunheboto
nagaland,2019,2,28979287.99164507,11894,mokokchung
nagaland,2019,2,30077446.323373545,10564,mon
nagaland,2019,2,16464089.793604638,6027,tuensang
nagaland,2019,2,12443724.249822928,5778,wokha
nagaland,2019,2,11255799.070045212,5232,phek
nagaland,2019,2,6816990.793895305,2784,kiphire
nagaland,2019,2,6719423.986701602,2715,peren
nagaland,2019,4,401874104.2973213,142922,dimapur
nagaland,2019,4,160227363.64728707,58317,kohima
nagaland,2019,4,52231884.395646855,23615,mon
nagaland,2019,4,73875655.63763416,23374,zunheboto
nagaland,2019,4,44939725.57083222,21048,mokokchung
nagaland,2019,4,21418632.85491927,11505,wokha
nagaland,2019,4,25427823.369834743,11148,tuensang
nagaland,2019,4,24095426.02126249,11054,phek
nagaland,2019,4,11787954.886359874,5522,kiphire
nagaland,2019,4,10804065.561619181,5148,peren
nagaland,2019,3,307103749.65803885,117140,dimapur
nagaland,2019,3,133224817.54316023,50183,kohima
nagaland,2019,3,60553998.31940128,20054,zunheboto
nagaland,2019,3,35622564.400276825,17903,mokokchung
nagaland,2019,3,36965971.955441214,17134,mon
nagaland,2019,3,19613846.131520323,9274,tuensang
nagaland,2019,3,16293996.925105993,9242,wokha
nagaland,2019,3,20348950.00705442,8985,phek
nagaland,2019,3,7311019.911698776,4847,kiphire
nagaland,2019,3,8062310.434825074,4277,peren
nagaland,2019,1,222202606.82928652,80741,dimapur
nagaland,2019,1,93498426.9098583,34373,kohima
nagaland,2019,1,22421067.66638949,11808,mokokchung
nagaland,2019,1,32110056.274005987,9694,mon
nagaland,2019,1,16471426.45522037,8860,zunheboto
nagaland,2019,1,15964521.798527543,5962,tuensang
nagaland,2019,1,13111143.373600572,5694,wokha
nagaland,2019,1,12361140.846022058,5062,phek
nagaland,2019,1,6473296.665928306,2689,peren
nagaland,2019,1,4550857.60564944,2103,kiphire
nagaland,2020,2,564581175.022531,232533,dimapur
nagaland,2020,2,235056409.18486094,98852,kohima
nagaland,2020,2,72681549.71193531,42193,mon
nagaland,2020,2,59551064.18105074,34034,mokokchung
nagaland,2020,2,39562622.89144808,21862,phek
nagaland,2020,2,47286166.881044514,19823,tuensang
nagaland,2020,2,30734350.10048492,19427,wokha
nagaland,2020,2,34250745.54624535,18146,zunheboto
nagaland,2020,2,17709802.025017656,11337,peren
nagaland,2020,2,21770604.465474274,11097,kiphire
nagaland,2020,4,1549414048.2654052,422501,dimapur
nagaland,2020,4,528950655.29797715,168861,kohima
nagaland,2020,4,149055802.79705116,51806,mon
nagaland,2020,4,129158623.72713923,48813,mokokchung
nagaland,2020,4,77215466.14300685,33080,wokha
nagaland,2020,4,92512403.56008916,29583,tuensang
nagaland,2020,4,75169716.4752171,28612,phek
nagaland,2020,4,60794471.32764542,23475,zunheboto
nagaland,2020,4,37707510.796402484,14947,peren
nagaland,2020,4,34760738.476595946,13202,longleng
nagaland,2020,3,1122771447.128912,352179,dimapur
nagaland,2020,3,438659891.11601055,149404,kohima
nagaland,2020,3,85955858.55902226,53050,mon
nagaland,2020,3,83590575.72604279,43164,mokokchung
nagaland,2020,3,47486985.41741961,28806,wokha
nagaland,2020,3,53114140.440056756,26004,phek
nagaland,2020,3,59266466.87175436,25719,tuensang
nagaland,2020,3,44845371.93193043,21556,zunheboto
nagaland,2020,3,25258376.20171611,13958,peren
nagaland,2020,3,29101447.582055062,12462,kiphire
nagaland,2020,1,497123725.474146,185428,dimapur
nagaland,2020,1,160485650.56697804,68246,kohima
nagaland,2020,1,56777615.99405684,28668,mon
nagaland,2020,1,46458137.86198041,22949,mokokchung
nagaland,2020,1,22440994.6265017,13752,wokha
nagaland,2020,1,29281215.251009904,13234,tuensang
nagaland,2020,1,24135509.70029243,13124,phek
nagaland,2020,1,23929943.338847376,12812,zunheboto
nagaland,2020,1,15127296.52352846,8571,kiphire
nagaland,2020,1,10449509.21674379,6691,peren
nagaland,2018,2,78472133.75014433,31758,dimapur
nagaland,2018,2,41958069.334260106,14759,kohima
nagaland,2018,2,6880664.952623585,4472,mokokchung
nagaland,2018,2,5272196.387110953,2914,tuensang
nagaland,2018,2,2952808.201464099,2851,wokha
nagaland,2018,2,5592193.661835907,2652,mon
nagaland,2018,2,3265939.4166390533,2058,phek
nagaland,2018,2,3800720.2210925473,1961,zunheboto
nagaland,2018,2,3132544.259220087,1151,peren
nagaland,2018,2,606015.5837374015,526,longleng
nagaland,2018,4,202172094.6763664,68046,dimapur
nagaland,2018,4,84867917.08908929,28604,kohima
nagaland,2018,4,21026422.57059867,10673,mokokchung
nagaland,2018,4,25315124.343433652,7966,mon
nagaland,2018,4,14443409.698866293,5518,tuensang
nagaland,2018,4,12449027.885359714,4966,zunheboto
nagaland,2018,4,8954846.535749527,4959,wokha
nagaland,2018,4,6547794.254166291,3615,phek
nagaland,2018,4,6712394.6749083325,2071,peren
nagaland,2018,4,3577703.453553167,2008,kiphire
nagaland,2018,3,122676685.88107637,44383,dimapur
nagaland,2018,3,62621606.402096175,20678,kohima
nagaland,2018,3,14438372.118668642,7245,mokokchung
nagaland,2018,3,8672814.868232306,4657,tuensang
nagaland,2018,3,10680645.611665618,4368,mon
nagaland,2018,3,6042931.988762021,3370,zunheboto
nagaland,2018,3,6048116.93383928,3314,wokha
nagaland,2018,3,4193127.0654867776,2951,phek
nagaland,2018,3,1911400.518954896,1527,kiphire
nagaland,2018,3,3565504.3902161866,1349,peren
nagaland,2018,1,38330087.582417,18449,dimapur
nagaland,2018,1,20744033.40863154,11070,kohima
nagaland,2018,1,5653655.116717218,3428,mokokchung
nagaland,2018,1,2939509.9737360794,1861,tuensang
nagaland,2018,1,2962723.1216541342,1851,mon
nagaland,2018,1,1750900.6459182377,1700,zunheboto
nagaland,2018,1,1942858.0739698592,1642,wokha
nagaland,2018,1,1347986.0495203384,1397,phek
nagaland,2018,1,547262.5934366982,605,longleng
nagaland,2018,1,1228042.9089448638,587,peren
nagaland,2022,2,3611270476.50131,1334969,dimapur
nagaland,2022,2,886866183.2238915,308395,kohima
nagaland,2022,2,244058058.3630171,77214,mokokchung
nagaland,2022,2,223341368.04423907,69381,mon
nagaland,2022,2,145247750.79450452,53721,wokha
nagaland,2022,2,163573534.549313,47255,phek
nagaland,2022,2,164759286.59289965,45170,tuensang
nagaland,2022,2,100740614.93631896,32898,zunheboto
nagaland,2022,2,76072297.54603858,24587,peren
nagaland,2022,2,71074150.21954788,20492,kiphire
nagaland,2022,4,4411217834.641218,1632985,dimapur
nagaland,2022,4,1086767701.7674205,396318,kohima
nagaland,2022,4,296499670.55821544,111374,wokha
nagaland,2022,4,280130670.3719771,79409,mokokchung
nagaland,2022,4,266072328.12832496,76894,mon
nagaland,2022,4,177953210.26442176,44176,tuensang
nagaland,2022,4,150669221.64689878,43589,phek
nagaland,2022,4,102825390.6874178,29697,zunheboto
nagaland,2022,4,76706538.54194443,24353,peren
nagaland,2022,4,66609982.69936785,19928,kiphire
nagaland,2022,3,3023858206.1614122,1094753,dimapur
nagaland,2022,3,1084969826.9670703,390575,kohima
nagaland,2022,3,249065125.4973578,81244,mokokchung
nagaland,2022,3,192965563.6529306,79275,wokha
nagaland,2022,3,217924271.27222452,68148,mon
nagaland,2022,3,151822055.76958296,45816,phek
nagaland,2022,3,158205190.5951551,44657,tuensang
nagaland,2022,3,94302709.04675612,30504,zunheboto
nagaland,2022,3,79886712.62073797,24443,peren
nagaland,2022,3,63372092.96371811,19352,kiphire
nagaland,2022,1,3258683919.847051,1111352,dimapur
nagaland,2022,1,1127446949.5241609,457809,kohima
nagaland,2022,1,207590215.0097239,68366,mokokchung
nagaland,2022,1,240110588.13301894,66833,mon
nagaland,2022,1,136226519.77073422,48308,wokha
nagaland,2022,1,145342038.73462993,44704,phek
nagaland,2022,1,151138444.1124605,40524,tuensang
nagaland,2022,1,88839937.40705833,28736,zunheboto
nagaland,2022,1,75586065.95644662,24401,peren
nagaland,2022,1,56264190.28859669,17513,longleng
kerala,2021,2,19704497753.319965,14177054,ernakulam
kerala,2021,2,7499008472.489387,4726028,kozhikode
kerala,2021,2,7117221910.053398,4693842,malappuram
kerala,2021,2,6743334746.137385,4154572,thiruvananthapuram
kerala,2021,2,6752401585.982382,3881737,thrissur
kerala,2021,2,4330614971.237995,2534369,kollam
kerala,2021,2,4226966852.6657553,2477621,kannur
kerala,2021,2,3954891660.8379817,2232317,palakkad
kerala,2021,2,3543155910.9216585,2131122,kottayam
kerala,2021,2,3048000026.8000603,1921008,alappuzha
kerala,2021,4,32778937436.49068,25306923,ernakulam
kerala,2021,4,12215744694.721281,8689226,malappuram
kerala,2021,4,12437421004.466856,8306264,kozhikode
kerala,2021,4,10882144450.411564,6802679,thiruvananthapuram
kerala,2021,4,10748756930.39449,6471411,thrissur
kerala,2021,4,6945109953.226888,4171542,kannur
kerala,2021,4,7277474405.384279,4107417,kollam
kerala,2021,4,6473706354.941971,3813936,palakkad
kerala,2021,4,5843770525.961052,3504049,kottayam
kerala,2021,4,5086522403.521093,3177335,alappuzha
kerala,2021,3,26757448740.357037,19207421,ernakulam
kerala,2021,3,10228243297.037325,6691321,malappuram
kerala,2021,3,10352351671.467161,6483184,kozhikode
kerala,2021,3,9208113081.714626,5427449,thiruvananthapuram
kerala,2021,3,9074305921.546795,5059971,thrissur
kerala,2021,3,6085539500.552663,3321904,kollam
kerala,2021,3,5705948607.452807,3200023,kannur
kerala,2021,3,5273353074.481867,2841134,palakkad
kerala,2021,3,4787914328.51901,2719376,kottayam
kerala,2021,3,4227398745.1447935,2505822,alappuzha
kerala,2021,1,18947291978.111584,13390058,ernakulam
kerala,2021,1,6990433691.332143,4287518,kozhikode
kerala,2021,1,6618671647.034931,4147591,malappuram
kerala,2021,1,6358411606.613166,3878020,thiruvananthapuram
kerala,2021,1,6417811869.899821,3475629,thrissur
kerala,2021,1,3821625432.235867,2127176,kollam
kerala,2021,1,3708267084.541333,2044936,kannur
kerala,2021,1,3654239469.7430363,1892633,palakkad
kerala,2021,1,3236942550.7439046,1808155,kottayam
kerala,2021,1,2825682876.840207,1681817,alappuzha
kerala,2019,2,4150046405.233533,2327469,ernakulam
kerala,2019,2,1608596589.681378,897152,thiruvananthapuram
kerala,2019,2,1369632612.6536586,768852,thrissur
kerala,2019,2,950964374.0589199,575048,malappuram
kerala,2019,2,968227341.5065465,540752,kozhikode
kerala,2019,2,682101020.9961852,373169,kottayam
kerala,2019,2,674063610.1443211,358416,palakkad
kerala,2019,2,624420173.4544072,350753,kannur
kerala,2019,2,508491310.8754553,285888,kollam
kerala,2019,2,473109181.5959674,282582,alappuzha
kerala,2019,4,6519567750.700623,3714876,ernakulam
kerala,2019,4,2665386104.807865,1653618,thiruvananthapuram
kerala,2019,4,2093913336.2620661,1136317,thrissur
kerala,2019,4,1646744139.5471349,1048192,kozhikode
kerala,2019,4,1440292240.0345955,888327,malappuram
kerala,2019,4,942036912.2773268,625681,kollam
kerala,2019,4,1132028895.1782436,621352,kottayam
kerala,2019,4,1017939385.5907226,616688,kannur
kerala,2019,4,1069460193.0190685,607193,palakkad
kerala,2019,4,859960789.4064287,581762,alappuzha
kerala,2019,3,5157574846.841607,2730518,ernakulam
kerala,2019,3,2114421209.9453459,1210326,thiruvananthapuram
kerala,2019,3,1653044268.9504735,913742,thrissur
kerala,2019,3,1229904356.4614897,791143,kozhikode
kerala,2019,3,1122314397.733013,669092,malappuram
kerala,2019,3,831397770.4387538,468478,palakkad
kerala,2019,3,801246829.2133518,467512,kannur
kerala,2019,3,868646787.5281065,455029,kottayam
kerala,2019,3,713019785.4366323,434861,kollam
kerala,2019,3,649647317.8447716,412404,alappuzha
kerala,2019,1,2766048426.726511,1657527,ernakulam
kerala,2019,1,1242525637.5853531,736407,thiruvananthapuram
kerala,2019,1,1018056389.0463976,705959,kozhikode
kerala,2019,1,892807636.0664955,695313,malappuram
kerala,2019,1,940781808.7837636,583045,thrissur
kerala,2019,1,618358114.4295684,390957,palakkad
kerala,2019,1,558480707.3401135,348566,kottayam
kerala,2019,1,493947068.763232,309217,kannur
kerala,2019,1,424402104.3678213,267030,kollam
kerala,2019,1,388624847.98847747,252186,alappuzha
kerala,2020,2,9056027224.418602,4530511,ernakulam
kerala,2020,2,2599631080.6226444,1742767,thiruvananthapuram
kerala,2020,2,2243504596.608429,1566564,kozhikode
kerala,2020,2,2341058567.044311,1351787,thrissur
kerala,2020,2,1803201659.9709346,1257378,malappuram
kerala,2020,2,1189750957.3159876,998243,kannur
kerala,2020,2,1193885128.3700097,893973,kollam
kerala,2020,2,1291966407.5463247,893115,palakkad
kerala,2020,2,1204970922.4053957,761782,kottayam
kerala,2020,2,942056560.3210676,755556,alappuzha
kerala,2020,4,14375193240.80718,8950159,ernakulam
kerala,2020,4,5728144598.801697,3436777,kozhikode
kerala,2020,4,5574649734.488936,3376010,thiruvananthapuram
kerala,2020,4,5198015036.320328,2988328,malappuram
kerala,2020,4,5026840469.302741,2628494,thrissur
kerala,2020,4,3368866047.27071,1966681,kannur
kerala,2020,4,3346551214.334015,1917078,kollam
kerala,2020,4,3102276857.5431166,1675633,palakkad
kerala,2020,4,2495781952.4534736,1562242,alappuzha
kerala,2020,4,2688432124.5928073,1486474,kottayam
kerala,2020,3,11683184896.523336,5931363,ernakulam
kerala,2020,3,3948266707.5358214,2170142,kozhikode
kerala,2020,3,3493171877.8317666,2081035,thiruvananthapuram
kerala,2020,3,3664780939.0939474,1898768,malappuram
kerala,2020,3,3785405397.4936147,1849073,thrissur
kerala,2020,3,2289595646.9909644,1338722,kollam
kerala,2020,3,2162452906.343422,1278504,kannur
kerala,2020,3,2004283358.564612,1116331,palakkad
kerala,2020,3,1556781058.1512263,1034921,alappuzha
kerala,2020,3,1888052939.6003127,1001447,kottayam
kerala,2020,1,8938376106.912516,5025201,ernakulam
kerala,2020,1,3050411160.545363,1957687,thiruvananthapuram
kerala,2020,1,2563142658.862935,1568774,kozhikode
kerala,2020,1,2546348594.755377,1370029,thrissur
kerala,2020,1,1707013551.1569433,1032834,malappuram
kerala,2020,1,1132631398.2083387,773621,kollam
kerala,2020,1,1330711260.7580514,752571,kottayam
kerala,2020,1,1196433777.4224691,715756,palakkad
kerala,2020,1,1073577708.9427073,703334,kannur
kerala,2020,1,939182379.108365,655979,alappuzha
kerala,2018,2,992297917.6619761,521535,ernakulam
kerala,2018,2,394434596.38289905,268993,malappuram
kerala,2018,2,432276266.4294082,262368,kozhikode
kerala,2018,2,447463532.2875792,241695,thiruvananthapuram
kerala,2018,2,323326151.5548469,194698,thrissur
kerala,2018,2,247495543.94612932,148865,palakkad
kerala,2018,2,219583423.42327893,132766,kottayam
kerala,2018,2,190249058.5368228,123543,kannur
kerala,2018,2,158093455.3837409,107011,kollam
kerala,2018,2,157158524.65667993,101141,alappuzha
kerala,2018,4,1886966258.0311787,1012043,ernakulam
kerala,2018,4,852029000.8762002,492826,kozhikode
kerala,2018,4,937541020.9487803,475377,thiruvananthapuram
kerala,2018,4,712275700.16859,445963,malappuram
