State,Year,Quater,app_open_count,user_count,District
nagaland,2021,3,1768717,109644,dimapur district
nagaland,2021,3,583917,7147,zunheboto district
nagaland,2021,3,633827,11126,wokha district
nagaland,2021,1,207141,16154,mon district
nagaland,2021,1,115057,7536,phek district
nagaland,2021,1,58910,3428,longleng district
nagaland,2021,1,194365,15634,mokokchung district
nagaland,2021,1,50891,3904,kiphire district
nagaland,2021,1,530009,37488,kohima district
nagaland,2021,1,118643,8866,tuensang district
nagaland,2021,1,59784,4286,peren district
nagaland,2021,1,1432598,94968,dimapur district
nagaland,2021,1,81959,6013,zunheboto district
nagaland,2021,1,131224,9531,wokha district
nagaland,2019,2,22791,3210,mon district
nagaland,2019,2,11191,2143,phek district
nagaland,2019,2,3307,733,longleng district
nagaland,2019,2,22610,4655,mokokchung district
nagaland,2019,2,6043,1084,kiphire district
nagaland,2019,2,75589,13108,kohima district
nagaland,2019,2,13264,2152,tuensang district
nagaland,2019,2,6185,1148,peren district
nagaland,2019,2,179762,34567,dimapur district
nagaland,2019,2,8800,1680,zunheboto district
nagaland,2019,2,12955,2411,wokha district
nagaland,2019,4,102617,4863,mon district
nagaland,2019,4,49838,3109,phek district
nagaland,2019,4,17569,1135,longleng district
nagaland,2019,4,93364,6606,mokokchung district
nagaland,2019,4,22231,1460,kiphire district
nagaland,2019,4,285979,18232,kohima district
nagaland,2019,4,54440,3081,tuensang district
nagaland,2019,4,25611,1623,peren district
nagaland,2019,4,706997,47000,dimapur district
nagaland,2019,4,47324,2475,zunheboto district
nagaland,2019,4,48581,3540,wokha district
nagaland,2019,3,77622,3976,mon district
nagaland,2019,3,43090,2642,phek district
nagaland,2019,3,13903,907,longleng district
nagaland,2019,3,80637,5593,mokokchung district
nagaland,2019,3,21298,1251,kiphire district
nagaland,2019,3,255404,15677,kohima district
nagaland,2019,3,46041,2599,tuensang district
nagaland,2019,3,22149,1377,peren district
nagaland,2019,3,608938,41036,dimapur district
nagaland,2019,3,32884,2058,zunheboto district
nagaland,2019,3,42056,2961,wokha district
nagaland,2019,1,0,2458,mon district
nagaland,2019,1,0,1727,phek district
nagaland,2019,1,0,539,longleng district
nagaland,2019,1,0,3721,mokokchung district
nagaland,2019,1,0,862,kiphire district
nagaland,2019,1,0,10747,kohima district
nagaland,2019,1,0,1678,tuensang district
nagaland,2019,1,0,884,peren district
nagaland,2019,1,0,28091,dimapur district
nagaland,2019,1,0,1374,zunheboto district
nagaland,2019,1,0,1830,wokha district
nagaland,2020,2,165317,7917,mon district
nagaland,2020,2,89799,4535,phek district
nagaland,2020,2,37771,1881,longleng district
nagaland,2020,2,137981,9559,mokokchung district
nagaland,2020,2,50366,2423,kiphire district
nagaland,2020,2,394202,24236,kohima district
nagaland,2020,2,89346,4779,tuensang district
nagaland,2020,2,49593,2534,peren district
nagaland,2020,2,943503,63398,dimapur district
nagaland,2020,2,72550,3647,zunheboto district
nagaland,2020,2,88851,5296,wokha district
nagaland,2020,4,210817,14932,mon district
nagaland,2020,4,116654,6888,phek district
nagaland,2020,4,53696,3091,longleng district
nagaland,2020,4,193976,14511,mokokchung district
nagaland,2020,4,49752,3629,kiphire district
nagaland,2020,4,506507,34872,kohima district
nagaland,2020,4,123923,8177,tuensang district
nagaland,2020,4,59618,3919,peren district
nagaland,2020,4,1378850,87807,dimapur district
nagaland,2020,4,88612,5541,zunheboto district
nagaland,2020,4,139716,8821,wokha district
nagaland,2020,3,278675,13591,mon district
nagaland,2020,3,116457,6151,phek district
nagaland,2020,3,50281,2731,longleng district
nagaland,2020,3,195554,13155,mokokchung district
nagaland,2020,3,59821,3306,kiphire district
nagaland,2020,3,486239,31483,kohima district
nagaland,2020,3,132509,7220,tuensang district
nagaland,2020,3,63251,3486,peren district
nagaland,2020,3,1243188,79061,dimapur district
nagaland,2020,3,95585,4942,zunheboto district
nagaland,2020,3,147082,7980,wokha district
nagaland,2020,1,119902,5747,mon district
nagaland,2020,1,59218,3637,phek district
nagaland,2020,1,23944,1430,longleng district
nagaland,2020,1,104247,7626,mokokchung district
nagaland,2020,1,33191,1814,kiphire district
nagaland,2020,1,320294,20644,kohima district
nagaland,2020,1,60792,3634,tuensang district
nagaland,2020,1,31361,1899,peren district
nagaland,2020,1,817430,53696,dimapur district
nagaland,2020,1,51964,2898,zunheboto district
nagaland,2020,1,62177,4118,wokha district
nagaland,2018,2,0,892,mon district
nagaland,2018,2,0,736,phek district
nagaland,2018,2,0,198,longleng district
nagaland,2018,2,0,1616,mokokchung district
nagaland,2018,2,0,258,kiphire district
nagaland,2018,2,0,4395,kohima district
nagaland,2018,2,0,594,tuensang district
nagaland,2018,2,0,358,peren district
nagaland,2018,2,0,12093,dimapur district
nagaland,2018,2,0,593,zunheboto district
nagaland,2018,2,0,703,wokha district
nagaland,2018,4,0,1884,mon district
nagaland,2018,4,0,1419,phek district
nagaland,2018,4,0,400,longleng district
nagaland,2018,4,0,2986,mokokchung district
nagaland,2018,4,0,661,kiphire district
nagaland,2018,4,0,8583,kohima district
nagaland,2018,4,0,1261,tuensang district
nagaland,2018,4,0,710,peren district
nagaland,2018,4,0,22603,dimapur district
